Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
300001,DataSphere,Display,Men 25-34,60 days,Email,0.13,"$19,309.29 ",6.36,New York,Mandarin,635,8703,4,Tech Enthusiasts,2/1/2021
300002,VisionCraft,Display,Men 18-24,30 days,Google Ads,0.07,"$15,161.02 ",6.58,Los Angeles,Mandarin,638,3431,9,Tech Enthusiasts,2/2/2021
300003,DataSphere,Search,Men 25-34,45 days,Email,0.06,"$15,966.58 ",6.52,Houston,Spanish,625,7672,9,Health & Wellness,2/3/2021
300004,InnovaHub,Search,Men 25-34,15 days,Instagram,0.05,"$18,417.22 ",4.38,Los Angeles,German,794,8813,8,Outdoor Adventurers,2/4/2021
300005,Apex Digital,Email,Women 25-34,15 days,Website,0.06,"$18,183.69 ",2.51,Miami,German,956,6707,8,Outdoor Adventurers,2/5/2021
300006,DataSphere,Influencer,Women 25-34,45 days,Website,0.12,"$5,010.23 ",4.14,Houston,English,462,2119,4,Foodies,2/6/2021
300007,DataSphere,Display,Men 25-34,30 days,Email,0.04,"$18,369.73 ",2.9,Los Angeles,French,924,2782,9,Health & Wellness,2/7/2021
300008,NextWave Technologies,Influencer,Women 25-34,15 days,Facebook,0.08,"$9,836.83 ",5.63,New York,French,577,3833,5,Fashionistas,2/8/2021
300009,BluePeak Media,Social Media,Women 35-44,30 days,Website,0.05,"$15,743.74 ",3.98,New York,French,509,3060,2,Tech Enthusiasts,2/9/2021
300010,NextWave Technologies,Influencer,All Ages,60 days,Email,0.05,"$12,158.53 ",4.25,Chicago,Mandarin,668,6966,8,Foodies,2/10/2021
300011,DataSphere,Display,Men 25-34,60 days,Email,0.13,"$19,309.29 ",6.36,New York,Mandarin,635,8703,4,Tech Enthusiasts,2/1/2021
300012,VisionCraft,Display,Men 18-24,30 days,Google Ads,0.07,"$15,161.02 ",6.58,Los Angeles,Mandarin,638,3431,9,Tech Enthusiasts,2/2/2021
300013,DataSphere,Search,Men 25-34,45 days,Email,0.06,"$15,966.58 ",6.52,Houston,Spanish,625,7672,9,Health & Wellness,2/3/2021
300014,InnovaHub,Search,Men 25-34,15 days,Instagram,0.05,"$18,417.22 ",4.38,Los Angeles,German,794,8813,8,Outdoor Adventurers,2/4/2021
300015,Apex Digital,Email,Women 25-34,15 days,Website,0.06,"$18,183.69 ",2.51,Miami,German,956,6707,8,Outdoor Adventurers,2/5/2021
300016,DataSphere,Influencer,Women 25-34,45 days,Website,0.12,"$5,010.23 ",4.14,Houston,English,462,2119,4,Foodies,2/6/2021
300017,DataSphere,Display,Men 25-34,30 days,Email,0.04,"$18,369.73 ",2.9,Los Angeles,French,924,2782,9,Health & Wellness,2/7/2021
300018,NextWave Technologies,Influencer,Women 25-34,15 days,Facebook,0.08,"$9,836.83 ",5.63,New York,French,577,3833,5,Fashionistas,2/8/2021
300019,BluePeak Media,Social Media,Women 35-44,30 days,Website,0.05,"$15,743.74 ",3.98,New York,French,509,3060,2,Tech Enthusiasts,2/9/2021
